foundation_name,program_name,fiscal_year,description,target_org_types,target_issues,target_regions,amount_min_jpy,amount_max_jpy,amount_note,deadline,deadline_month_recurring,application_method,requires_registration,requires_legal_entity,min_operation_years,total_applicants_recent,total_adopted_recent,adoption_rate_pct,grant_url,pdf_url,status,data_completeness,data_source
東京都,東京都武蔵野市：「商店会活性出店支援金（事業開始時）」（令和8年...,2026,,,地域コミュニティ|まちづくり,,,200000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/72102,,active,partial,補助金ポータル
愛知県,愛知県蒲郡市：「蒲郡市がんばる中小企業者応援補助金」（令和8年度...,2026,,,就労・雇用,,,100000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/72093,,active,partial,補助金ポータル
東京都,東京都：「中央競馬馬主社会福祉財団助成金（施設整備等助成事業）」...,2026,,,地域コミュニティ|まちづくり,,,2000000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/72078,,active,partial,補助金ポータル
岩手県,岩手県一関市：「子どもの居場所づくり推進事業費補助金」,2026,,,子ども・青少年|環境・気候変動|地域コミュニティ|まちづくり,,,500000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/72029,,active,partial,補助金ポータル
静岡県,静岡県：「中小企業GX経営推進事業費補助金」（令和8年度）,2026,,,その他,,,10000000,,2026-04-07,4,,,,,,,,https://hojyokin-portal.jp/subsidies/72022,,active,partial,補助金ポータル
島根県,島根県：「中央競馬馬主社会福祉財団助成金（施設整備等助成事業）」...,2026,,,地域コミュニティ|まちづくり,,,1000000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/72019,,active,partial,補助金ポータル
東京都,東京都羽村市：「事業者物価高騰緊急対策助成金」,2026,,,その他,,,100000,,2026-04-06,4,,,,,,,,https://hojyokin-portal.jp/subsidies/72007,,active,partial,補助金ポータル
秋田県,秋田県能代市：「令和8年度市民まちづくり活動支援事業」≪1次募集...,2026,,,地域コミュニティ|まちづくり,,,900000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/71980,,unknown,partial,補助金ポータル
埼玉県,埼玉県：「令和8年度シラコバト基金助成事業（豊かな地域福祉づくり...,2026,,,地域コミュニティ|まちづくり,,,1000000,,2026-03-25,3,,,,,,,,https://hojyokin-portal.jp/subsidies/71971,,unknown,partial,補助金ポータル
広島県,広島県：「令和8年度課題解決型太陽光発電施設導入事業補助金」,2026,,,環境・気候変動,,,8000000,,2026-03-27,3,,,,,,,,https://hojyokin-portal.jp/subsidies/71935,,active,partial,補助金ポータル
